"codigo_pais","pais","anio","pbi_pc","coef_gini","poblacion","exp_servicios","region","nivel_ingreso","pbi_indust_pc","pbi_indust_pc_idx","variacion_idx","grupo"
"BRA","Brazil",2003,6941.43965883253,57.6,180622688,9578042993.16155,"Latin America & Caribbean","Upper middle income",946.526839365102,158.39275527846,43.599561919508,"Menos industrializado"
"BRA","Brazil",2004,7258.78101654079,56.5,182675143,11548779176.8625,"Latin America & Caribbean","Upper middle income",1020.89749360493,170.838015515148,43.599561919508,"Menos industrializado"
"BRA","Brazil",2005,7409.56827992249,56.3,184688101,14762690788.119,"Latin America & Caribbean","Upper middle income",1032.41668940148,172.765649349632,43.599561919508,"Menos industrializado"
"BRA","Brazil",2006,7622.03919432148,55.6,186653106,17730530324.5215,"Latin America & Caribbean","Upper middle income",1034.14965412398,173.055645412903,43.599561919508,"Menos industrializado"
"BRA","Brazil",2007,8003.2532101272,54.9,188552320,21824000137.1611,"Latin America & Caribbean","Upper middle income",1086.6036836084,181.83335557384,43.599561919508,"Menos industrializado"
"BRA","Brazil",2008,8330.76364001877,54,190367302,27985433880.4058,"Latin America & Caribbean","Upper middle income",1120.90315917481,187.573064384649,43.599561919508,"Menos industrializado"
"BRA","Brazil",2009,8246.09612122851,53.7,192079951,25195308258.5578,"Latin America & Caribbean","Upper middle income",1007.99470577927,168.678849996027,43.599561919508,"Menos industrializado"
"BRA","Brazil",2023,9288.02594608687,51.5,211140729,45372858140.25,"Latin America & Caribbean","Upper middle income",858.125355789991,143.599561919508,43.599561919508,"Menos industrializado"
"BRA","Brazil",2011,9067.99212019529,52.9,195284734,36436720329.53,"Latin America & Caribbean","Upper middle income",1106.89481912691,185.228894642402,43.599561919508,"Menos industrializado"
"BRA","Brazil",2012,9167.49818450433,53.4,196876111,38195678228.77,"Latin America & Caribbean","Upper middle income",1071.83086209698,179.361256732987,43.599561919508,"Menos industrializado"
"BRA","Brazil",1998,6687.49446621217,59.6,169159655,7192734332.35731,"Latin America & Caribbean","Upper middle income",923.123754548518,154.476459477909,43.599561919508,"Menos industrializado"
"BRA","Brazil",2001,6823.0331851176,58.4,176301203,8555964164.97589,"Latin America & Caribbean","Upper middle income",925.242086553913,154.830943290702,43.599561919508,"Menos industrializado"
"BRA","Brazil",2015,8936.1955889444,51.9,201675532,33674744241.23,"Latin America & Caribbean","Upper middle income",940.171548894047,157.329254565706,43.599561919508,"Menos industrializado"
"BRA","Brazil",2016,8577.84277969667,53.4,203218114,33053800677.03,"Latin America & Caribbean","Upper middle income",888.556934312755,148.692012940682,43.599561919508,"Menos industrializado"
"BRA","Brazil",2017,8628.25209645723,53.3,204703445,33257427223.05,"Latin America & Caribbean","Upper middle income",902.482242670621,151.022288076234,43.599561919508,"Menos industrializado"
"BRA","Brazil",2018,8722.33529970988,53.9,206107261,34044413357.87,"Latin America & Caribbean","Upper middle income",908.819469643115,152.082766024932,43.599561919508,"Menos industrializado"
"BRA","Brazil",2019,8771.43950372603,53.5,207455459,33033119251.79,"Latin America & Caribbean","Upper middle income",899.068649571367,150.451053966535,43.599561919508,"Menos industrializado"
"BRA","Brazil",2020,8435.01046209185,48.8,208660842,27513932172.52,"Latin America & Caribbean","Upper middle income",852.162142209879,142.601671748849,43.599561919508,"Menos industrializado"
"BRA","Brazil",2021,8799.22844579944,52.9,209550294,31481822899.19,"Latin America & Caribbean","Upper middle income",880.599802601284,147.360458500304,43.599561919508,"Menos industrializado"
"BRA","Brazil",2022,9032.08377657776,51.9,210306415,40291245724.1,"Latin America & Caribbean","Upper middle income",872.637488121073,146.028036770182,43.599561919508,"Menos industrializado"
"BRA","Brazil",1994,6427.1682800904,NA,159265006,4.908e+09,"Latin America & Caribbean","Upper middle income",758.496140248781,126.927508577219,43.599561919508,"Menos industrializado"
"BRA","Brazil",1995,6596.33496795058,59.5,161735073,6.135e+09,"Latin America & Caribbean","Upper middle income",989.143080391573,165.5242000036,43.599561919508,"Menos industrializado"
"BRA","Brazil",1996,6640.72624266152,59.8,164202549,4.76e+09,"Latin America & Caribbean","Upper middle income",975.060758795639,163.167650114541,43.599561919508,"Menos industrializado"
